id,placeId,locationType,nameFr,nameEn,descriptionFr,descriptionEn,containedInPlaceStatus,streetAddress,addressLocality,addressRegion,postalCode,addressCountry,lastModification
VILLE-5020,5020,AdministrativeArea,Hope Town,Hope Town,Municipalité de Hope Town,Municipality of Hope Town,false,"""""",Hope Town,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-5025,5025,AdministrativeArea,Hope,Hope,Municipalité de Hope,Municipality of Hope,false,"""""",Hope,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-5032,5032,AdministrativeArea,Paspébiac,Paspébiac,Ville de Paspébiac,Town of Paspébiac,false,"""""",Paspébiac,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-5040,5040,AdministrativeArea,New Carlisle,New Carlisle,Municipalité de New Carlisle,Municipality of New Carlisle,false,"""""",New Carlisle,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-5045,5045,AdministrativeArea,Bonaventure,Bonaventure,Ville de Bonaventure,Town of Bonaventure,false,"""""",Bonaventure,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-5050,5050,AdministrativeArea,Saint-Elzéar,Saint-Elzéar,Municipalité de Saint-Elzéar,Municipality of Saint-Elzéar,false,"""""",Saint-Elzéar,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-5055,5055,AdministrativeArea,Saint-Siméon,Saint-Siméon,Municipalité de Saint-Siméon,Municipality of Saint-Siméon,false,"""""",Saint-Siméon,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-5060,5060,AdministrativeArea,Caplan,Caplan,Municipalité de Caplan,Municipality of Caplan,false,"""""",Caplan,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-5065,5065,AdministrativeArea,Saint-Alphonse,Saint-Alphonse,Municipalité de Saint-Alphonse,Municipality of Saint-Alphonse,false,"""""",Saint-Alphonse,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-5070,5070,AdministrativeArea,New Richmond,New Richmond,Ville de New Richmond,Town of New Richmond,false,"""""",New Richmond,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-5077,5077,AdministrativeArea,Cascapédia--Saint-Jules,Cascapédia--Saint-Jules,Municipalité de Cascapédia--Saint-Jules,Municipality of Cascapédia--Saint-Jules,false,"""""",Cascapédia--Saint-Jules,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-5902,5902,AdministrativeArea,Rivière-Bonaventure,Rivière-Bonaventure,Rivière-Bonaventure,Rivière-Bonaventure,false,"""""",Rivière-Bonaventure,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-6005,6005,AdministrativeArea,Maria,Maria,Municipalité de Maria,Municipality of Maria,false,"""""",Maria,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-6013,6013,AdministrativeArea,Carleton-sur-Mer,Carleton-sur-Mer,Ville de Carleton-sur-Mer,Town of Carleton-sur-Mer,false,"""""",Carleton-sur-Mer,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-6020,6020,AdministrativeArea,Nouvelle,Nouvelle,Municipalité de Nouvelle,Municipality of Nouvelle,false,"""""",Nouvelle,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-6025,6025,AdministrativeArea,Escuminac,Escuminac,Municipalité de Escuminac,Municipality of Escuminac,false,"""""",Escuminac,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-6030,6030,AdministrativeArea,Pointe-à-la-Croix,Pointe-à-la-Croix,Municipalité de Pointe-à-la-Croix,Municipality of Pointe-à-la-Croix,false,"""""",Pointe-à-la-Croix,QC,"""""",CAN,2025-03-27T15:00:00-04:00
VILLE-6035,6035,AdministrativeArea,Ristigouche-Sud-Est,Ristigouche-Sud-Est,Municipalité de Ristigouche-Sud-Est,Municipality of Ristigouche-Sud-Est,false,"""""",Ristigouche-Sud-Est,QC,"""""",CAN,2025-03-27T15:00:00-04:00
